id,title,content,category
59,The Mariana Trench,"The Mariana Trench in the western Pacific Ocean reaches a maximum depth of about 11,034 m at Challenger Deep—deeper than Everest is tall. The water pressure there is over 1,000 times that at sea level. Only a handful of missions have reached the bottom.",Geography
60,The Sahara Desert,"The Sahara is Earth's largest hot desert, covering about 9.2 million km² across North Africa. Surface temperatures can exceed 50°C, yet the Sahara was green and wet as recently as 5,000–11,000 years ago during the African Humid Period.",Geography
61,The Amazon River,"The Amazon River carries about 20% of all fresh water that flows into the world's oceans. At its widest, it can be over 50 km across during flood season. It drains a basin of 7 million km² and is home to 2,500 species of freshwater fish.",Geography
62,The Nile River,"The Nile, at about 6,650 km, is generally considered the world's longest river, flowing northward through northeastern Africa into the Mediterranean Sea. Its annual floods deposited fertile silt that sustained ancient Egyptian civilization for millennia.",Geography
63,Antarctica,"Antarctica is Earth's fifth-largest continent and the coldest, driest, and windiest. It holds about 70% of the world's fresh water as ice. The lowest natural air temperature ever recorded on Earth, −89.2°C, was measured there in 1983.",Geography
64,The Northern Lights,"The aurora borealis (Northern Lights) occurs when charged particles from the Sun interact with Earth's magnetic field and atmosphere, causing gases to glow. They are most visible in high-latitude regions like Norway, Iceland, Canada, and Alaska.",Geography
65,Volcanoes,"There are roughly 1,500 potentially active volcanoes worldwide. The 1815 eruption of Mount Tambora in Indonesia is the largest recorded in history; it caused the 'Year Without a Summer' in 1816, leading to crop failures and famines across the Northern Hemisphere.",Geography
66,The Grand Canyon,"Carved by the Colorado River over 5–6 million years, Arizona's Grand Canyon is 446 km long, up to 29 km wide, and over 1.8 km deep. Its exposed rock layers record nearly 2 billion years of Earth's geological history.",Geography
67,The Himalayas,"The Himalayas are a mountain range in South Asia formed by the collision of the Indian and Eurasian tectonic plates, starting about 50 million years ago. The range contains 14 peaks over 8,000 m, including Everest, K2, and Kangchenjunga.",Geography
68,Coral Reefs,"Coral reefs occupy less than 0.1% of the ocean floor but support about 25% of all marine species. They protect coastlines from storm damage and support fisheries that feed more than a billion people. Warming oceans cause coral bleaching, threatening their survival.",Geography
69,The Great Wall of China,"The Great Wall of China stretches over 21,000 km when all sections are combined. Construction began in the 7th century BC and continued through the Ming Dynasty (1368–1644). Despite the myth, the Wall is generally not visible from space with the naked eye.",History
70,Stonehenge,"Stonehenge on Salisbury Plain, England, was built in stages from about 3000 to 1500 BC. The iconic sarsen stones—each weighing up to 25 tonnes—were transported from Marlborough Downs, 25 km away. Its precise astronomical alignment suggests ritual purpose.",History
71,Machu Picchu,"Built by the Inca Empire in the 15th century at 2,430 m altitude in the Peruvian Andes, Machu Picchu was abandoned during the Spanish conquest and unknown to the outside world until 1911. It is famous for its dry-stone walls that fit together without mortar.",History
72,The Pyramids of Giza,"The Great Pyramid of Giza, built around 2560 BC, originally stood 146.5 m tall and contained an estimated 2.3 million stone blocks averaging 2.5 tonnes each. Ancient engineers aligned it with remarkable precision—within 0.05 degrees of true north.",History
73,Ocean Currents,"Ocean currents are driven by wind, temperature, salinity differences, and Earth's rotation. The Gulf Stream transports warm water northward along the US East Coast and moderates Western European climates. Disruption of these currents could dramatically alter regional weather.",Geography
74,Earthquakes,"Earthquakes occur where tectonic plates slip, releasing stored energy as seismic waves. The 1960 Valdivia earthquake in Chile, measuring 9.5 magnitude, is the strongest ever recorded. The Pacific Ring of Fire is the most seismically active region on Earth.",Geography
75,Biodiversity,"Earth hosts an estimated 8.7 million species, of which only about 1.2 million have been scientifically described. Tropical rainforests contain the greatest biodiversity per km². Scientists estimate that current extinction rates are 100–1,000 times the natural background rate.",Science
76,Niagara Falls,"Niagara Falls, on the US–Canada border, is one of the most powerful waterfalls in North America, with a flow rate of about 2,400 m³ per second. The falls erode the rock beneath them by approximately 30 cm per year, slowly retreating upstream.",Geography
77,The Colosseum,"The Colosseum in Rome, completed in 80 AD, could hold 50,000–80,000 spectators. It hosted gladiatorial contests, animal hunts, and mock naval battles for over 400 years. Its engineering innovations—including the arch and concrete vaulting—influenced architecture for centuries.",History
78,The Panama Canal,"The Panama Canal, opened in 1914, cuts 77 km across the Isthmus of Panama, saving ships about 12,875 km compared to sailing around South America. Its lock system raises and lowers ships up to 26 m. About 14,000 vessels transit it annually.",Geography
79,The Water Cycle,"The water cycle continuously moves water between oceans, atmosphere, and land through evaporation, condensation, precipitation, and runoff. About 496,000 km³ of water evaporates from Earth's surface annually. The cycle regulates climate and distributes fresh water.",Science
80,Human Space Exploration,"Yuri Gagarin became the first human in space on 12 April 1961. Neil Armstrong and Buzz Aldrin first walked on the Moon on 20 July 1969. As of 2024, only 12 people have stood on the Moon. Artemis plans to return humans by the late 2020s.",Space
